,dep,lemma,tag
338,['  head_token_index: 4'],"['lemma: ""ya""']",['  tag: ADV']
339,['  head_token_index: 4'],"['lemma: "",""']",['  tag: PUNCT']
340,['  head_token_index: 4'],"['lemma: ""dar""']",['  tag: VERB']
341,['  head_token_index: 7'],"['lemma: ""él""']",['  tag: PRON']
342,['  head_token_index: 10'],"['lemma: ""el""']",['  tag: DET']
343,['  head_token_index: 7'],"['lemma: ""nacionalidad""']",['  tag: NOUN']
344,['  head_token_index: 10'],"['lemma: ""venezolano""']",['  tag: ADJ']
345,['  head_token_index: 10'],"['lemma: ""a""']",['  tag: ADP']
346,['  head_token_index: 15'],"['lemma: ""todo""']",['  tag: DET']
347,['  head_token_index: 15'],"['lemma: ""el""']",['  tag: DET']
348,['  head_token_index: 12'],"['lemma: ""uribista""']",['  tag: NOUN']
349,['  head_token_index: 2'],"['lemma: "";""']",['  tag: PUNCT']
350,['  head_token_index: 18'],"['lemma: ""\\""""']",['  tag: PUNCT']
351,['  head_token_index: 2'],"['lemma: ""cónchalar""']",['  tag: VERB']
352,['  head_token_index: 18'],"['lemma: ""valer""']",['  tag: VERB']
353,['  head_token_index: 18'],"['lemma: ""\\""""']",['  tag: PUNCT']
354,['  head_token_index: 18'],"['lemma: ""...""']",['  tag: PUNCT']
355,['  head_token_index: 22'],"['lemma: ""Total""']",['  tag: NOUN']
356,['  head_token_index: 24'],"['lemma: "",""']",['  tag: PUNCT']
357,['  head_token_index: 22'],"['lemma: ""ellos""']",['  tag: PRON']
358,['  head_token_index: 26'],"['lemma: ""\\""""']",['  tag: PUNCT']
359,['  head_token_index: 24'],"['lemma: ""sufrir""']",['  tag: VERB']
360,['  head_token_index: 29'],"['lemma: ""\\""""']",['  tag: PUNCT']
361,['  head_token_index: 29'],"['lemma: ""más""']",['  tag: ADV']
362,['  head_token_index: 26'],"['lemma: ""por""']",['  tag: ADP']
363,['  head_token_index: 29'],"['lemma: ""Venezuela""']",['  tag: NOUN']
364,['  head_token_index: 39'],"['lemma: "",""']",['  tag: PUNCT']
365,['  head_token_index: 39'],"['lemma: ""que""']",['  tag: PRON']
366,['  head_token_index: 39'],"['lemma: ""por""']",['  tag: ADP']
367,['  head_token_index: 35'],"['lemma: ""tanta""']",['  tag: DET']
368,['  head_token_index: 33'],"['lemma: ""injusticia""']",['  tag: NOUN']
369,['  head_token_index: 35'],"['lemma: "",""']",['  tag: PUNCT']
370,['  head_token_index: 35'],"['lemma: ""violencia""']",['  tag: NOUN']
371,['  head_token_index: 33'],"['lemma: "",""']",['  tag: PUNCT']
372,['  head_token_index: 30'],"['lemma: ""corrupción""']",['  tag: NOUN']
373,['  head_token_index: 39'],"['lemma: ""problema""']",['  tag: NOUN']
374,['  head_token_index: 40'],"['lemma: ""en""']",['  tag: ADP']
